City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Hesla,IN,87.01,clear sky,24.0667,85.8833,Chetlal Residence
539,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
548,Porto Novo,BJ,85.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
549,Rock Sound,BS,76.64,clear sky,24.9,-76.2,Pink Corral Bay Property
551,Bumba,CD,77.13,overcast clouds,2.1833,22.4667,Père Carlos
552,Galle,LK,81.48,overcast clouds,6.0367,80.217,Amangalla
555,Palmeirais,BR,83.75,broken clouds,-5.9778,-43.0633,Pousada LS
559,Kui Buri,TH,80.98,broken clouds,12.0828,99.8543,Rista House & Resort
575,Tucurui,BR,82.81,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
581,San Pedro,PH,81.63,few clouds,14.35,121.0167,Esquivel's Garden And Resort
601,Kisangani,CD,76.32,overcast clouds,0.5167,25.2,Grand Ramela Hotel
613,Auki,SB,76.71,broken clouds,-8.7676,160.7034,Auki Motel
617,Vanimo,PG,77.41,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
619,Ranong,TH,78.55,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
623,Pitimbu,BR,88.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
624,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
625,Laje,BR,84.47,overcast clouds,-10.1833,-40.9667,NN Pousada
636,Pali,IN,89.55,few clouds,25.7667,73.3333,HOTEL THE AMBA VILAS
641,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
642,Buala,SB,79.23,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
644,Rio Cuarto,AR,77.47,clear sky,-33.1307,-64.3499,Hotel Menossi
645,Mbour,SN,79.65,broken clouds,14.422,-16.9638,Tama Lodge
653,La Mesa,US,76.57,clear sky,32.7678,-117.0231,"Holiday Inn San Diego - la Mesa, an IHG Hotel"
654,Le Port,RE,78.8,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
656,Cururupu,BR,84.4,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
658,Golden,US,77.22,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
659,Vallenar,CL,76.39,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
663,Daloa,CI,83.01,overcast clouds,6.8774,-6.4502,Imans Hotel Daloa
